Alias,sustainability_test,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Export Date,2023-03-20 12:44:55,,,,,,,,,,
,,,,,,,,,,,
Name of Company,Country,Sector,What steps are you taking to reduce your carbon footprint?,How do you ensure that your products are environmentally sustainable?,How do you handle waste management in your company?,How do you ensure that your company is socially responsible?,How do you support the local community?,How do you promote diversity and inclusion within your company?,How do you ensure that your company is economically sustainable?,How do you support the local economy?,How do you measure the economic impact of your operations?
Company1,Croatia,Retail,We have implemented energy-efficient practices and equipment,We use sustainable materials in our products,We work with third-party companies to recycle our waste,We have a code of conduct that outlines our social responsibilities,We provide job opportunities for members of the local community,We provide diversity and inclusion training for our employees,We do not have any measures in place for ensuring economic sustainability,We do not currently support the local economy in any way,We do not currently measure the economic impact of our operations
Company2,Netherlands,Retail,We have not yet taken any steps to reduce our carbon footprint,We do not currently have any measures in place for ensuring environmental sustainability of our products,We work with third-party companies to recycle our waste,We do not have any measures in place for ensuring social responsibility,We provide job opportunities for members of the local community,We have implemented policies to ensure diversity and inclusion in our hiring practices,We do not have any measures in place for ensuring economic sustainability,We source materials and services from local businesses,We use key performance indicators (KPIs) to track the financial performance of our business
Company3,Greece,Energy,We have implemented energy-efficient practices and equipment,We do not currently have any measures in place for ensuring environmental sustainability of our products,We do not have any waste management measures in place,We have implemented policies to ensure fair treatment of our employees and stakeholders,We provide job opportunities for members of the local community,We have implemented policies to ensure diversity and inclusion in our hiring practices,We have diversified our revenue streams to reduce our dependence on a single source of income,We provide job opportunities for members of the local community,We regularly conduct economic impact assessments of our operations
Company4,Ireland,Consumer goods,We are currently working on developing renewable energy sources,We use sustainable materials in our products,We work with third-party companies to recycle our waste,We do not have any measures in place for ensuring social responsibility,We work with local organizations and charities to support community initiatives,We provide diversity and inclusion training for our employees,We have implemented measures to reduce our operating costs,We provide job opportunities for members of the local community,We do not currently measure the economic impact of our operations
Company5,Spain,Retail,We are currently working on developing renewable energy sources,We use sustainable materials in our products,We do not have any waste management measures in place,We do not have any measures in place for ensuring social responsibility,We provide job opportunities for members of the local community,We do not currently have any measures in place for promoting diversity and inclusion,We have implemented measures to reduce our operating costs,We do not currently support the local economy in any way,We do not currently measure the economic impact of our operations
Company6,Belgium,Healthcare,We have not yet taken any steps to reduce our carbon footprint,We have implemented a recycling program for our products,We have implemented a waste reduction program,We do not have any measures in place for ensuring social responsibility,We work with local organizations and charities to support community initiatives,We have implemented policies to ensure diversity and inclusion in our hiring practices,We have implemented measures to reduce our operating costs,We source materials and services from local businesses,We use key performance indicators (KPIs) to track the financial performance of our business
Company7,Denmark,Healthcare,We have not yet taken any steps to reduce our carbon footprint,We use sustainable materials in our products,We do not have any waste management measures in place,We do not have any measures in place for ensuring social responsibility,We work with local organizations and charities to support community initiatives,We do not currently have any measures in place for promoting diversity and inclusion,We do not have any measures in place for ensuring economic sustainability,We source materials and services from local businesses,We do not currently measure the economic impact of our operations
